PC1,PC2,Rule Name,Color
"[-0.19355961 -0.17685603 -0.18171022 -0.19397979 -0.177175   -0.18704503
 -0.20199024 -0.19767127 -0.2113209  -0.22803795 -0.22407001 -0.19097312
 -0.23094567 -0.23564751 -0.17160113 -0.1605266  -0.22497303 -0.22569538
 -0.17519568 -0.18299348 -0.2228615  -0.21839606 -0.20391881 -0.20172816
 -0.19864186 -0.20916447 -0.2009993  -0.23207285 -0.28935513 -0.17537825
 -0.2142383  -0.23213403 -0.18910064 -0.17587682 -0.1912138  -0.19119134
 -0.23856547 -0.18584222 -0.22334142 -0.19997737]","[-0.22854031 -0.19663243 -0.15187915 -0.16807456 -0.18379793 -0.21811853
 -0.18213302 -0.19309654 -0.15858897 -0.21474201 -0.20711776 -0.18890535
 -0.19189663 -0.21758448 -0.18299984 -0.17055424 -0.19230294 -0.18087797
 -0.2176908  -0.22616059 -0.20853309 -0.22067322 -0.23746503 -0.15541929
 -0.18823637 -0.18985597 -0.20899532 -0.183075   -0.21113764 -0.21151191
 -0.23273378 -0.20837642 -0.22620163 -0.15533896 -0.19196648 -0.12971675
 -0.16058913 -0.21421889 -0.18365181 -0.21161368]",DelayPro,dodgerblue
"[-0.369288   -0.36171284 -0.3673178  -0.37315911 -0.41623293 -0.35215887
 -0.38648551 -0.42111528 -0.37703944 -0.37883103 -0.3551297  -0.36005326
 -0.40196339 -0.39152364 -0.39970432 -0.36551137 -0.36375557 -0.4030163
 -0.37069922 -0.35940222 -0.35590332 -0.40670957 -0.35917522 -0.37037688
 -0.41493725 -0.32735949 -0.41257117 -0.40324592 -0.44539036 -0.41477764
 -0.37674096 -0.44533326 -0.36101284 -0.37869896 -0.38355237 -0.40305721
 -0.38810953 -0.36694978 -0.39693061 -0.35004867]","[0.49210602 0.54326116 0.55425051 0.51885488 0.64824049 0.46601765
 0.56632317 0.61899218 0.54159314 0.49772284 0.5213905  0.54137152
 0.59489569 0.55285581 0.5703207  0.53882991 0.50157473 0.44461857
 0.54969998 0.47393464 0.50358841 0.5588671  0.5249064  0.50393506
 0.60135909 0.51379214 0.58365727 0.55021276 0.54943845 0.60761391
 0.4618815  0.64990252 0.54042194 0.56836328 0.59952567 0.59771581
 0.53849883 0.50514192 0.58134138 0.4708041 ]",ReactPro,limegreen
"[-0.19068445 -0.13406034 -0.16697472 -0.16972967 -0.13879544 -0.16026975
 -0.20446458 -0.17096804 -0.17528312 -0.18380811 -0.17109972 -0.14404203
 -0.17559263 -0.19876747 -0.17985236 -0.15888241 -0.16592563 -0.21614838
 -0.17456114 -0.15846004 -0.17506287 -0.17950181 -0.18463645 -0.15093017
 -0.16363487 -0.17629031 -0.19476517 -0.19280871 -0.22263966 -0.14590401
 -0.19102648 -0.19021536 -0.1495038  -0.13257216 -0.17734258 -0.14971774
 -0.19681581 -0.17479543 -0.1799668  -0.16896756]","[-0.21332435 -0.17752307 -0.16425199 -0.16871653 -0.14282389 -0.23500933
 -0.19397184 -0.15848406 -0.14991107 -0.2004282  -0.17132308 -0.16285347
 -0.14726958 -0.18001311 -0.1617053  -0.14453934 -0.15882529 -0.19426957
 -0.15929249 -0.20191556 -0.16620927 -0.15714121 -0.1739262  -0.13525296
 -0.19623501 -0.17728948 -0.1941831  -0.16505183 -0.1348633  -0.19463583
 -0.19002744 -0.14601878 -0.18638138 -0.17864644 -0.1718922  -0.18631064
 -0.17865763 -0.16618489 -0.188352   -0.19933256]",MemoryPro,dodgerblue
"[0.50319715 0.49103299 0.56063413 0.40168428 0.47470411 0.4559291
 0.49893046 0.45551686 0.3909756  0.50392881 0.404415   0.46029238
 0.40586815 0.39906141 0.47593113 0.41681361 0.43419822 0.47473102
 0.41258052 0.47230213 0.45901675 0.45891351 0.46197782 0.45138335
 0.49151916 0.36495921 0.40721594 0.40270729 0.42571441 0.41755721
 0.37499444 0.41240594 0.48427778 0.43352331 0.45316955 0.45801446
 0.40968745 0.44250877 0.45559364 0.5133966 ]","[-0.13729984 -0.15795204 -0.1210464  -0.14385193 -0.10127784 -0.14429521
 -0.13606196 -0.14033902 -0.08646874 -0.1566309  -0.12008279 -0.17327598
 -0.10666045 -0.12204403 -0.11037    -0.12628654 -0.13836108 -0.15377287
 -0.11540417 -0.14916088 -0.11841242 -0.15619478 -0.14162902 -0.13212152
 -0.1605453  -0.10738664 -0.11715271 -0.13567286 -0.07629173 -0.14431724
 -0.13946411 -0.10039487 -0.14639697 -0.13768793 -0.10380243 -0.12130052
 -0.11147882 -0.1459575  -0.14512077 -0.14607643]",DelayAnti,r
"[0.38021168 0.40096256 0.35160286 0.37057577 0.34207683 0.3754845
 0.3207267  0.32599383 0.33312075 0.28529567 0.26355249 0.3606458
 0.28964696 0.32209862 0.37364874 0.34850499 0.33153034 0.31934483
 0.33999578 0.40250842 0.38124129 0.27071326 0.33208022 0.26808945
 0.33108928 0.36227955 0.30019024 0.31916898 0.28185634 0.35476751
 0.25996217 0.30461604 0.28631819 0.31279277 0.36207934 0.39703106
 0.32006357 0.35754618 0.34748    0.32513936]","[0.24431709 0.29222559 0.32248743 0.31559968 0.28827273 0.22764366
 0.26825216 0.28940319 0.28395707 0.24348142 0.2311565  0.33895849
 0.2796612  0.28104429 0.30182135 0.31086261 0.24237151 0.24912743
 0.2806941  0.19090665 0.35411512 0.20590712 0.25231674 0.23929296
 0.2738112  0.34106384 0.21331878 0.25606479 0.29516623 0.2735502
 0.16275865 0.3113307  0.26989994 0.29631664 0.30686115 0.32707351
 0.29564833 0.22952361 0.34526041 0.23291916]",ReactAnti,orange
"[0.34803591 0.34342019 0.38743787 0.31291966 0.36671182 0.40949363
 0.36842172 0.2897742  0.29576553 0.33904999 0.2777953  0.36447455
 0.37312922 0.32147748 0.32151126 0.31154154 0.25544195 0.25985217
 0.34942557 0.36060329 0.31959249 0.30209925 0.3482808  0.31698204
 0.39650531 0.3765913  0.30815712 0.33925689 0.25960948 0.3648756
 0.28538645 0.30419137 0.34511103 0.32012186 0.3848303  0.31673233
 0.32733649 0.38619625 0.37196225 0.36398098]","[-0.12634861 -0.09120451 -0.06330147 -0.09454928 -0.02923605 -0.11469683
 -0.09011677 -0.09513805 -0.06407542 -0.09139266 -0.09683554 -0.1111196
 -0.08948555 -0.09510912 -0.0867133  -0.09856723 -0.10467563 -0.12005592
 -0.07603321 -0.11334863 -0.0778711  -0.09686228 -0.10041049 -0.0966024
 -0.10017423 -0.07256307 -0.10984353 -0.09324818 -0.05085763 -0.0804255
 -0.09786701 -0.07407799 -0.08943614 -0.09757014 -0.05844075 -0.07723408
 -0.08840879 -0.12025391 -0.0752526  -0.12186687]",MemoryAnti,r
"[-0.07223825 -0.07155157 -0.08165628 -0.09392169 -0.0561239  -0.05827206
 -0.071531   -0.06329864 -0.0949222  -0.10800072 -0.09228859 -0.0551763
 -0.09046346 -0.07810117 -0.06999292 -0.07572333 -0.06031283 -0.09458699
 -0.08163562 -0.07011231 -0.06067448 -0.08194648 -0.07716797 -0.10632398
 -0.09784818 -0.08831843 -0.06195058 -0.09296751 -0.10901415 -0.07396735
 -0.09714799 -0.09088062 -0.05125963 -0.07169765 -0.06080621 -0.05305569
 -0.11020073 -0.0741247  -0.06958153 -0.07957381]","[-0.12344491 -0.08013205 -0.05201784 -0.07869569 -0.04138236 -0.0945792
 -0.10092544 -0.09287871 -0.06505586 -0.09075261 -0.09505077 -0.07096307
 -0.05948152 -0.05274179 -0.06209143 -0.06918215 -0.08804489 -0.10031637
 -0.07827508 -0.09455312 -0.04675931 -0.08866637 -0.11091329 -0.08732646
 -0.08165057 -0.07257569 -0.08594557 -0.0889789  -0.05895117 -0.10531512
 -0.09213696 -0.03472237 -0.0756839  -0.09088498 -0.0533761  -0.06100969
 -0.07378071 -0.07581495 -0.09529637 -0.1192527 ]",IntegrationModality1,steelblue
"[-0.11044355 -0.08214874 -0.090043   -0.09124889 -0.09512323 -0.07450534
 -0.09733732 -0.07958537 -0.09717418 -0.10554554 -0.13275331 -0.05309322
 -0.10136272 -0.12831053 -0.08647547 -0.09415815 -0.09312436 -0.10820682
 -0.09373353 -0.09016885 -0.10027763 -0.11054535 -0.07986015 -0.07987064
 -0.08187634 -0.09336532 -0.10389929 -0.09282908 -0.14024524 -0.08855328
 -0.10832973 -0.10884107 -0.1046912  -0.06541527 -0.06896636 -0.09128622
 -0.11075691 -0.09910617 -0.08957433 -0.08578736]","[-0.09361815 -0.11601778 -0.06833129 -0.08897894 -0.04525092 -0.10722499
 -0.10829146 -0.0680732  -0.03949998 -0.07665708 -0.04376145 -0.08422071
 -0.08060972 -0.07554023 -0.06978044 -0.07412956 -0.08707566 -0.10716806
 -0.07097786 -0.12137951 -0.05005856 -0.09729958 -0.08392736 -0.09767801
 -0.09073605 -0.04813466 -0.09442197 -0.0731215  -0.06421836 -0.08705555
 -0.09733737 -0.03832518 -0.06643251 -0.09574175 -0.07372768 -0.04079926
 -0.0773042  -0.07518213 -0.06488544 -0.1029124 ]",IntegrationModality2,steelblue
"[-0.04556993 -0.02745389 -0.03624683 -0.01880493 -0.01001817 -0.0289749
 -0.03661512 -0.02892179 -0.04239615 -0.04050001 -0.05848935 -0.03096041
 -0.04603933 -0.04777967 -0.042018   -0.03397322 -0.03443475 -0.05392327
 -0.04420873 -0.02727572 -0.04428487 -0.0404161  -0.01790542 -0.05166518
 -0.05394276 -0.05428236 -0.05215676 -0.05479408 -0.07194354 -0.03867326
 -0.05596684 -0.06332601 -0.02904932 -0.03664577 -0.03830232 -0.01759538
 -0.04436592 -0.02667208 -0.03994872 -0.01169717]","[-0.13482242 -0.11161584 -0.07503834 -0.1193578  -0.0924996  -0.11889689
 -0.10791627 -0.10785753 -0.07983792 -0.11868781 -0.10029178 -0.11085369
 -0.08507808 -0.07822007 -0.11010892 -0.08803174 -0.11361928 -0.13464551
 -0.13160588 -0.12705887 -0.08859934 -0.12487244 -0.10684702 -0.09233799
 -0.11463881 -0.05675242 -0.12959655 -0.09319262 -0.10332904 -0.09066707
 -0.09269909 -0.06142099 -0.15018596 -0.12423513 -0.07879493 -0.08926005
 -0.0897196  -0.12832955 -0.09525113 -0.12614119]",CtxtIntModality1,steelblue
"[-0.06472109 -0.03594832 -0.04655264 -0.05764872 -0.04863808 -0.03870062
 -0.05676007 -0.06351448 -0.0760644  -0.07629344 -0.06932391 -0.05051362
 -0.06241815 -0.07812705 -0.04908666 -0.06107348 -0.05687442 -0.08382531
 -0.07671574 -0.03343563 -0.07623289 -0.05507952 -0.05862873 -0.03632063
 -0.04000966 -0.05959799 -0.0745747  -0.08058462 -0.1265707  -0.03336949
 -0.08576943 -0.08561084 -0.05579874 -0.06059497 -0.03105242 -0.06109168
 -0.06177613 -0.06332667 -0.07137091 -0.0569877 ]","[-0.09035326 -0.08189703 -0.07804609 -0.08314274 -0.05272789 -0.10325126
 -0.09331538 -0.05241012 -0.05535627 -0.0783792  -0.0768137  -0.07684346
 -0.0692656  -0.06614546 -0.08490378 -0.0522027  -0.09516628 -0.12931988
 -0.04277274 -0.11889915 -0.05601711 -0.10983515 -0.09913348 -0.04757137
 -0.06112725 -0.07940456 -0.1185825  -0.06433    -0.07467012 -0.10265245
 -0.10646335 -0.03850282 -0.09253541 -0.07500991 -0.05170365 -0.07820345
 -0.05119073 -0.06806644 -0.04985027 -0.09135976]",CtxtIntModality2,steelblue
